"sa2_code","date","hour","count","seasonal","trend","normalised_count","cluster_id"
257900,2018-05-09,13,2490,-214.84453941885184,2704.844539418852,2490,1.0
257900,2018-05-09,14,2487,-218.17182117999832,2705.1718211799985,2487,1.0
257900,2018-05-09,15,2490,-223.61279787137633,2713.612797871376,2490,1.0
257900,2018-05-09,16,2484,-235.55116667291347,2719.5511666729135,2484,1.0
257900,2018-05-09,17,2508,-254.8840873004405,2762.884087300441,2508,1.0
257900,2018-05-09,18,2415,-276.96125244778864,2691.961252447789,2415,1.0
257900,2018-05-09,19,2370,-292.48070197428825,2662.4807019742884,2370,1.0
257900,2018-05-09,20,2361,-293.4167184024482,2654.416718402448,2361,1.0
257900,2018-05-09,21,2409,-278.2834623442398,2687.28346234424,2409,1.0
257900,2018-05-09,22,2451,-254.3876431010152,2705.3876431010153,2451,1.0
257900,2018-05-09,23,2454,-234.71975681856853,2688.7197568185684,2454,1.0
257900,2018-05-10,0,2553,-231.38874260074627,2784.3887426007464,2553,1.0
257900,2018-05-10,1,2493,-249.74472038698744,2742.7447203869874,2493,1.0
257900,2018-05-10,2,2415,-283.6390928210666,2698.6390928210667,2415,1.0
257900,2018-05-10,3,2331,-318.64423060203035,2649.6442306020303,2331,1.0
257900,2018-05-10,4,2322,-339.09157764032096,2661.091577640321,2322,1.0
257900,2018-05-10,5,2331,-336.39057026531117,2667.390570265311,2331,1.0
257900,2018-05-10,6,2361,-313.279159904825,2674.279159904825,2361,1.0
257900,2018-05-10,7,2439,-282.644041594914,2721.644041594914,2439,1.0
257900,2018-05-10,8,2466,-261.50392345724435,2727.503923457244,2466,1.0
257900,2018-05-10,9,2511,-262.4312529713978,2773.431252971398,2511,1.0
257900,2018-05-10,10,2514,-288.38728814690523,2802.387288146905,2514,1.0
257900,2018-05-10,11,2214,-331.945895413042,2545.945895413042,2214,1.0
257900,2018-05-10,12,2253,-378.4150562989378,2631.415056298938,2253,1.0
257900,2018-05-10,13,2271,-416.47670466364553,2687.4767046636457,2271,1.0
257900,2018-05-10,14,2271,-440.86927124547265,2711.8692712454726,2271,1.0
257900,2018-05-10,15,2259,-452.90890375681994,2711.90890375682,2259,1.0
257900,2018-05-10,16,2247,-457.10810696801855,2704.1081069680185,2247,1.0
257900,2018-05-10,17,2310,-456.483598055416,2766.483598055416,2310,1.0
257900,2018-05-10,18,2265,-450.13123385277527,2715.131233852775,2265,1.0
257900,2018-05-10,19,2214,-433.1527242645752,2647.152724264575,2214,1.0
257900,2018-05-10,20,2250,-401.5489560967061,2651.548956096706,2250,1.0
257900,2018-05-10,21,2331,-357.2724530933818,2688.272453093382,2331,1.0
257900,2018-05-10,22,2412,-309.4331500724427,2721.433150072443,2412,1.0
257900,2018-05-10,23,2376,-270.78465703056713,2646.7846570305674,2376,1.0
257900,2018-05-11,0,2439,-250.4469457699356,2689.4469457699356,2439,1.0
257900,2018-05-11,1,2487,-248.91479220650248,2735.9147922065026,2487,1.0
257900,2018-05-11,2,2475,-255.1506652883991,2730.150665288399,2475,1.0
257900,2018-05-11,3,2469,-249.9714670768953,2718.9714670768954,2469,1.0
257900,2018-05-11,4,2481,-214.713907411212,2695.713907411212,2481,1.0
257900,2018-05-11,5,2508,-140.22761899724264,2648.227618997242,2508,1.0
257900,2018-05-11,6,2583,-31.772034785422207,2614.7720347854224,2583,1.0
257900,2018-05-11,7,2817,92.70336114099614,2724.296638859004,2817,1.0
257900,2018-05-11,8,2925,209.6171783808442,2715.382821619156,2925,1.0
257900,2018-05-11,9,3006,301.3706424031803,2704.62935759682,3006,1.0
257900,2018-05-11,10,3057,362.5736022491873,2694.4263977508126,3057,1.0
257900,2018-05-11,11,3084,400.3794097687494,2683.6205902312504,3084,1.0
257900,2018-05-11,12,3165,428.5963757291246,2736.4036242708753,3165,1.0
257900,2018-05-11,13,3174,458.53629784492387,2715.463702155076,3174,1.0
257900,2018-05-11,14,3177,492.96834762834504,2684.031652371655,3177,1.0
257900,2018-05-11,15,3183,524.3664636721397,2658.6335363278604,3183,1.0
257900,2018-05-11,16,3180,539.4309508063924,2640.5690491936075,3180,1.0
257900,2018-05-11,17,3189,527.0908946690874,2661.909105330913,3189,1.0
257900,2018-05-11,18,3171,485.3815161151596,2685.6184838848403,3171,1.0
257900,2018-05-11,19,3192,424.12237642888186,2767.877623571118,3192,1.0
257900,2018-05-11,20,3150,361.3297868252839,2788.670213174716,3150,1.0
257900,2018-05-11,21,3054,316.9980762980299,2737.00192370197,3054,1.0
257900,2018-05-11,22,2955,306.08736644445275,2648.9126335555475,2955,1.0
257900,2018-05-11,23,2877,334.23476851414176,2542.7652314858583,2877,1.0
257900,2018-05-12,0,3081,397.9019587695634,2683.0980412304366,3081,1.0
257900,2018-05-12,1,3204,486.28603512712544,2717.7139648728744,3204,1.0
257900,2018-05-12,2,3282,587.6847372333782,2694.315262766622,3282,1.0
257900,2018-05-12,3,3450,691.8729579500972,2758.1270420499027,3450,1.0
257900,2018-05-12,4,3534,789.7069221903727,2744.293077809627,3534,1.0
257900,2018-05-12,5,3582,873.2036018717683,2708.796398128232,3582,1.0
257900,2018-05-12,6,3612,934.8813098304208,2677.118690169579,3612,1.0
257900,2018-05-12,7,3621,969.0636565875556,2651.9363434124443,3621,1.0
257900,2018-05-12,8,3627,974.7077426148604,2652.2922573851392,3627,1.0
257900,2018-05-12,9,3630,957.5823710166796,2672.4176289833204,3630,1.0
257900,2018-05-12,10,3624,929.9987843397956,2694.0012156602043,3624,1.0
257900,2018-05-12,11,3624,907.1099083796076,2716.8900916203925,3624,1.0
257900,2018-05-12,12,3657,901.0105450534766,2755.989454946523,3657,1.0
257900,2018-05-12,13,3654,915.4504860997006,2738.5495139002996,3654,1.0
257900,2018-05-12,14,3639,944.5720839389666,2694.4279160610336,3639,1.0
257900,2018-05-12,15,3639,975.625904075819,2663.374095924181,3639,1.0
257900,2018-05-12,16,3645,994.9298623652604,2650.0701376347397,3645,1.0
257900,2018-05-12,17,3654,994.1034306365772,2659.8965693634227,3654,1.0
257900,2018-05-12,18,3651,973.0627681324538,2677.937231867546,3651,1.0
257900,2018-05-12,19,3648,938.2855879120216,2709.7144120879784,3648,1.0
257900,2018-05-12,20,3663,897.3014279586831,2765.6985720413168,3663,1.0
257900,2018-05-12,21,3609,852.8177280642404,2756.1822719357597,3609,1.0
257900,2018-05-12,22,3501,800.7918033484983,2700.2081966515016,3501,1.0
257900,2018-05-12,23,3363,732.7017245298019,2630.298275470198,3363,1.0
257900,2018-05-13,0,3261,641.4868485647363,2619.513151435264,3261,1.0
257900,2018-05-13,1,3255,527.4115264857633,2727.5884735142367,3255,1.0
257900,2018-05-13,2,3114,400.47157683944835,2713.5284231605515,3114,1.0
257900,2018-05-13,3,3021,279.16908226081296,2741.830917739187,3021,1.0
257900,2018-05-13,4,2844,182.49173845689228,2661.508261543108,2844,1.0
257900,2018-05-13,5,2811,122.76094570158436,2688.239054298416,2811,1.0
257900,2018-05-13,6,2826,99.66443853098522,2726.335561469015,2826,1.0
257900,2018-05-13,7,2805,101.9318171600576,2703.0681828399424,2805,1.0
257900,2018-05-13,8,2799,113.9339440376702,2685.0660559623298,2799,1.0
257900,2018-05-13,9,2802,122.98197440149862,2679.0180255985015,2802,1.0
257900,2018-05-13,10,2817,124.23163474814392,2692.7683652518563,2817,1.0
257900,2018-05-13,11,2826,120.4458649737837,2705.5541350262165,2826,1.0
257900,2018-05-13,12,2823,117.3400000857115,2705.6599999142886,2823,1.0
257900,2018-05-13,13,2811,117.39283789448338,2693.6071621055166,2811,1.0
257900,2018-05-13,14,2799,116.09489034803562,2682.9051096519643,2799,1.0
257900,2018-05-13,15,2796,102.96604232043072,2693.033957679569,2796,1.0
257900,2018-05-13,16,2775,66.95987840618295,2708.0401215938173,2775,1.0
257900,2018-05-13,17,2739,3.3078147520979737,2735.692185247902,2739,1.0
257900,2018-05-13,18,2649,-82.53765009069411,2731.537650090694,2649,1.0
257900,2018-05-13,19,2442,-176.0218964380381,2618.0218964380383,2442,1.0
257900,2018-05-13,20,2403,-259.1155760540853,2662.115576054085,2403,1.0
257900,2018-05-13,21,2415,-319.6040198551818,2734.604019855182,2415,1.0
257900,2018-05-13,22,2346,-355.22471500741625,2701.2247150074163,2346,1.0
257900,2018-05-13,23,2319,-372.57494704442024,2691.57494704442,2319,1.0
257900,2018-05-14,0,2334,-382.62501615662393,2716.625016156624,2334,1.0
257900,2018-05-14,1,2343,-393.7790979420663,2736.779097942066,2343,1.0
257900,2018-05-14,2,2283,-406.80897553561095,2689.808975535611,2283,1.0
257900,2018-05-14,3,2268,-414.511185925972,2682.511185925972,2268,1.0
257900,2018-05-14,4,2232,-406.97295760893167,2638.9729576089317,2232,1.0
257900,2018-05-14,5,2325,-377.57232903342657,2702.5723290334267,2325,1.0
257900,2018-05-14,6,2367,-328.1830695939721,2695.183069593972,2367,1.0
257900,2018-05-14,7,2490,-267.77750023498396,2757.777500234984,2490,1.0
257900,2018-05-14,8,2514,-208.79439217538797,2722.794392175388,2514,1.0
257900,2018-05-14,9,2523,-160.2645104059386,2683.2645104059384,2523,1.0
257900,2018-05-14,10,2553,-124.69391602587316,2677.693916025873,2553,1.0
257900,2018-05-14,11,2562,-98.83649789661618,2660.836497896616,2562,1.0
257900,2018-05-14,12,2652,-77.63616549386765,2729.636165493868,2652,1.0
257900,2018-05-14,13,2646,-59.78034209789398,2705.780342097894,2646,1.0
257900,2018-05-14,14,2643,-49.08304354136257,2692.0830435413627,2643,1.0
257900,2018-05-14,15,2640,-53.35303276484672,2693.353032764847,2640,1.0
257900,2018-05-14,16,2622,-79.31957519391695,2701.319575193917,2622,1.0
257900,2018-05-14,17,2613,-127.1335376115956,2740.133537611596,2613,1.0
257900,2018-05-14,18,2502,-188.242444199055,2690.242444199055,2502,1.0
257900,2018-05-14,19,2421,-247.46695630723912,2668.4669563072393,2421,1.0
257900,2018-05-14,20,2397,-290.28304651783446,2687.2830465178345,2397,1.0
257900,2018-05-14,21,2406,-309.8672989196286,2715.8672989196284,2406,1.0
257900,2018-05-14,22,2442,-310.2162199323606,2752.2162199323607,2442,1.0
257900,2018-05-14,23,2337,-303.85152520832435,2640.8515252083243,2337,1.0
257900,2018-05-15,0,2373,-304.16965418665245,2677.169654186652,2373,1.0
257900,2018-05-15,1,2412,-319.71109655854366,2731.711096558543,2412,1.0
